strategy,symbol,timeframe,mode,rr_cap,trade_count,resolved_count,wins,losses,win_rate,tp1_count,tp2_count,sl_count,net_r,profit_factor,expectancy,average_r,average_winning_r,average_losing_r,max_drawdown_r,max_consecutive_wins,max_consecutive_losses,outlier_dependency
ICT,GBPUSD,M5,Baseline,,53,53,13,40,0.24528301886792453,12,1,40,-12.198713243715876,0.6950321689071031,-0.23016440082482784,-0.23016440082482784,2.1385605197141633,-1.0,14.156224905754947,3,13,N/A (baseline non-positive)
ICT,GBPUSD,M5,Cap_5.0,,53,53,13,40,0.24528301886792453,12,1,40,-12.198713243715876,0.6950321689071031,-0.23016440082482784,-0.23016440082482784,2.1385605197141633,-1.0,14.156224905754947,3,13,N/A (baseline non-positive)
ICT,GBPUSD,M5,Cap_4.0,,53,53,13,40,0.24528301886792453,12,1,40,-12.664816097398406,0.6833795975650399,-0.23895879429053596,-0.23895879429053596,2.1027064540462765,-1.0,14.54605642868905,3,13,N/A (baseline non-positive)
ICT,GBPUSD,M5,Cap_3.0,,53,53,13,40,0.24528301886792453,12,1,40,-14.176810780000313,0.6455797304999921,-0.2674869958490625,-0.2674869958490625,1.9863991707692066,-1.0,16.058051111290958,3,13,N/A (baseline non-positive)
ICT,GBPUSD,M5,Cap_2.5,,53,53,13,40,0.24528301886792453,12,1,40,-15.176810780000313,0.620579730499992,-0.2863549203773644,-0.2863549203773644,1.9094760938461297,-1.0,17.058051111290958,3,13,N/A (baseline non-positive)
ICT,GBPUSD,M5,Cap_2.0,,53,53,13,40,0.24528301886792453,12,1,40,-16.554115282935577,0.5861471179266106,-0.3123417977912373,-0.3123417977912373,1.8035295936203404,-1.0,18.43535561422622,3,13,N/A (baseline non-positive)
ICT,GBPUSD,M15,Baseline,,12,12,5,7,0.4166666666666667,5,0,7,3.3382669445961604,1.4768952777994513,0.27818891204968005,0.27818891204968005,2.067653388919232,-1.0,3.0,3,3,Low R-Multiple Sensitivity
ICT,GBPUSD,M15,Cap_5.0,,12,12,5,7,0.4166666666666667,5,0,7,3.3382669445961604,1.4768952777994513,0.27818891204968005,0.27818891204968005,2.067653388919232,-1.0,3.0,3,3,Low R-Multiple Sensitivity
ICT,GBPUSD,M15,Cap_4.0,,12,12,5,7,0.4166666666666667,5,0,7,3.3382669445961604,1.4768952777994513,0.27818891204968005,0.27818891204968005,2.067653388919232,-1.0,3.0,3,3,Low R-Multiple Sensitivity
ICT,GBPUSD,M15,Cap_3.0,,12,12,5,7,0.4166666666666667,5,0,7,3.3382669445961604,1.4768952777994513,0.27818891204968005,0.27818891204968005,2.067653388919232,-1.0,3.0,3,3,Low R-Multiple Sensitivity
ICT,GBPUSD,M15,Cap_2.5,,12,12,5,7,0.4166666666666667,5,0,7,3.2789667526822566,1.468423821811751,0.27324722939018803,0.27324722939018803,2.0557933505364514,-1.0,3.0,3,3,Low R-Multiple Sensitivity
ICT,GBPUSD,M15,Cap_2.0,,12,12,5,7,0.4166666666666667,5,0,7,2.44829491063385,1.3497564158048356,0.20402457588615416,0.20402457588615416,1.88965898212677,-1.0,3.0,3,3,Low R-Multiple Sensitivity
ICT,GBPUSD,M30,Baseline,,67,67,19,48,0.2835820895522388,1,18,48,7.806773121123482,1.1626411066900726,0.11651900180781316,0.11651900180781316,2.9371985853222884,-1.0,46.5,18,45,Low R-Multiple Sensitivity
ICT,GBPUSD,M30,Cap_5.0,,67,67,19,48,0.2835820895522388,1,18,48,7.806773121123482,1.1626411066900726,0.11651900180781316,0.11651900180781316,2.9371985853222884,-1.0,46.5,18,45,Low R-Multiple Sensitivity
ICT,GBPUSD,M30,Cap_4.0,,67,67,19,48,0.2835820895522388,1,18,48,7.806773121123482,1.1626411066900726,0.11651900180781316,0.11651900180781316,2.9371985853222884,-1.0,46.5,18,45,Low R-Multiple Sensitivity
ICT,GBPUSD,M30,Cap_3.0,,67,67,19,48,0.2835820895522388,1,18,48,7.074381919977391,1.1473829566661957,0.10558778985040881,0.10558778985040881,2.8986516799988102,-1.0,46.5,18,45,Low R-Multiple Sensitivity
ICT,GBPUSD,M30,Cap_2.5,,67,67,19,48,0.2835820895522388,1,18,48,-1.5,0.96875,-0.022388059701492536,-0.022388059701492536,2.4473684210526314,-1.0,46.5,18,45,Low R-Multiple Sensitivity
ICT,GBPUSD,M30,Cap_2.0,,67,67,19,48,0.2835820895522388,1,18,48,-10.5,0.78125,-0.15671641791044777,-0.15671641791044777,1.9736842105263157,-1.0,46.5,18,45,Low R-Multiple Sensitivity
ICT,GBPUSD,H1,Baseline,,4,4,1,3,0.25,1,0,3,-1.397262370962104,0.5342458763459653,-0.349315592740526,-0.349315592740526,1.602737629037896,-1.0,3.0,1,3,N/A (baseline non-positive)
ICT,GBPUSD,H1,Cap_5.0,,4,4,1,3,0.25,1,0,3,-1.397262370962104,0.5342458763459653,-0.349315592740526,-0.349315592740526,1.602737629037896,-1.0,3.0,1,3,N/A (baseline non-positive)
ICT,GBPUSD,H1,Cap_4.0,,4,4,1,3,0.25,1,0,3,-1.397262370962104,0.5342458763459653,-0.349315592740526,-0.349315592740526,1.602737629037896,-1.0,3.0,1,3,N/A (baseline non-positive)
ICT,GBPUSD,H1,Cap_3.0,,4,4,1,3,0.25,1,0,3,-1.397262370962104,0.5342458763459653,-0.349315592740526,-0.349315592740526,1.602737629037896,-1.0,3.0,1,3,N/A (baseline non-positive)
ICT,GBPUSD,H1,Cap_2.5,,4,4,1,3,0.25,1,0,3,-1.397262370962104,0.5342458763459653,-0.349315592740526,-0.349315592740526,1.602737629037896,-1.0,3.0,1,3,N/A (baseline non-positive)
ICT,GBPUSD,H1,Cap_2.0,,4,4,1,3,0.25,1,0,3,-1.397262370962104,0.5342458763459653,-0.349315592740526,-0.349315592740526,1.602737629037896,-1.0,3.0,1,3,N/A (baseline non-positive)
ICT,GBPUSD,H4,Baseline,,4,4,0,4,0.0,0,0,4,-4.0,0.0,-1.0,-1.0,0.0,-1.0,4.0,0,4,N/A (baseline non-positive)
ICT,GBPUSD,H4,Cap_5.0,,4,4,0,4,0.0,0,0,4,-4.0,0.0,-1.0,-1.0,0.0,-1.0,4.0,0,4,N/A (baseline non-positive)
ICT,GBPUSD,H4,Cap_4.0,,4,4,0,4,0.0,0,0,4,-4.0,0.0,-1.0,-1.0,0.0,-1.0,4.0,0,4,N/A (baseline non-positive)
ICT,GBPUSD,H4,Cap_3.0,,4,4,0,4,0.0,0,0,4,-4.0,0.0,-1.0,-1.0,0.0,-1.0,4.0,0,4,N/A (baseline non-positive)
ICT,GBPUSD,H4,Cap_2.5,,4,4,0,4,0.0,0,0,4,-4.0,0.0,-1.0,-1.0,0.0,-1.0,4.0,0,4,N/A (baseline non-positive)
ICT,GBPUSD,H4,Cap_2.0,,4,4,0,4,0.0,0,0,4,-4.0,0.0,-1.0,-1.0,0.0,-1.0,4.0,0,4,N/A (baseline non-positive)
ICT,NZDUSD,M1,Baseline,,114,114,39,75,0.34210526315789475,39,0,75,11.897716121870687,1.1586362149582758,0.10436593089360252,0.10436593089360252,2.2281465672274536,-1.0,27.324114227264257,11,24,Low R-Multiple Sensitivity
ICT,NZDUSD,M1,Cap_5.0,,114,114,39,75,0.34210526315789475,39,0,75,11.897716121870687,1.1586362149582758,0.10436593089360252,0.10436593089360252,2.2281465672274536,-1.0,27.324114227264257,11,24,Low R-Multiple Sensitivity
