strategy,symbol,timeframe,trade_count,min_sl_distance,median_sl_distance,p1_sl_distance,p5_sl_distance,p99_sl_distance,tiny_sl_count,tiny_sl_pct,winners_gt10r,winners_gt20r,winners_gt50r,net_r,profit_factor
ICT,GBPUSD,M1,96,6.195046011181482e-05,0.00016983660542801982,6.291491240184577e-05,7.406556618216875e-05,0.0007805057117951097,0,0.0,0,0,0,5.970596847096344,1.0918553361091745
ICT,GBPUSD,M15,12,0.00029630495700705417,0.0005589743076441778,0.00029630495700705417,0.00034178317436373007,0.0010715299119183896,0,0.0,0,0,0,3.3382669445961604,1.4768952777994513
ICT,GBPUSD,M30,67,0.0006693848588323892,0.002483912744952077,0.0007820359743149208,0.0008181345912998683,0.0034365848378037356,0,0.0,0,0,0,7.806773121123482,1.1626411066900726
ICT,GBPUSD,M5,53,6.975789970775637e-05,0.0004409195028776125,0.00010028726830002554,0.00013715858469320885,0.0010297848534219778,0,0.0,0,0,0,-12.198713243715876,0.6950321689071031
ICT,NZDUSD,H1,5,0.0004956946404002238,0.0005239910294350114,0.0004956946404002238,0.0004956946404002238,0.0006083404853021168,0,0.0,0,0,0,-2.471841455884066,0.38203963602898355
ICT,NZDUSD,H4,3,0.0011377951317218526,0.0017154407843592567,0.0011377951317218526,0.0011377951317218526,0.001745782383156147,0,0.0,0,0,0,-3.0,0.0
ICT,NZDUSD,M1,114,2.881955474343112e-05,0.00012268302629164785,2.9113366646793537e-05,5.310481056808314e-05,0.0003170559491956215,0,0.0,0,0,0,11.897716121870687,1.1586362149582758
ICT,NZDUSD,M15,14,0.0002636485888106721,0.0004019882381096629,0.0002636485888106721,0.0002841779427725788,0.0010588256060670709,0,0.0,0,0,0,7.97994265349544,1.99749283168693
ICT,NZDUSD,M30,51,0.00039666789098280475,0.0005280618948817484,0.00039666789098280475,0.00043872242050035926,0.0013645433326169298,0,0.0,0,0,0,-41.840590844097456,0.12832102408130305
ICT,NZDUSD,M5,64,7.713555391375415e-05,0.00026063529684189346,0.00012369287783853267,0.00014021407768294303,0.0008302775862345513,0,0.0,0,0,0,-17.803776681397828,0.6366576187469833
ICT,XAUUSD,H1,7,16.31879725863473,21.290006358161918,16.31879725863473,16.31879725863473,97.87963335130462,0,0.0,0,0,0,1.6534756688630583,1.4133689172157646
ICT,XAUUSD,H4,4,44.927550643663835,52.23276901869167,44.927550643663835,44.927550643663835,63.54822495852659,0,0.0,0,0,0,-4.0,0.0
ICT,XAUUSD,M1,92,0.8202915030951772,2.7154505195380807,1.1885108250362464,1.300233875314916,17.309890105386785,0,0.0,0,0,0,5.653654763907522,1.0942275793984588
ICT,XAUUSD,M15,60,2.7568101425135865,40.38273784010971,3.559760203488622,4.08256164980412,41.0617799807942,0,0.0,0,0,0,-5.121908797100584,0.8719522800724853
ICT,XAUUSD,M30,10,7.943314019606078,10.658040726782929,7.943314019606078,7.943314019606078,14.953280200670633,0,0.0,0,0,0,9.642165718466215,3.4105414296165537
ICT,XAUUSD,M5,58,1.8344636656552211,6.115923070796271,2.1356408243132137,2.7792580458954035,18.51431794491691,0,0.0,0,0,0,-26.314376246507905,0.4517838281977519
SMC,EURUSD,H1,14,0.00021670930424888546,0.0006747781059039948,0.00021670930424888546,0.00025723412187894645,0.002660128491449143,0,0.0,0,0,0,20.4932513056835,5.0986502611367
SMC,EURUSD,H4,9,0.0002581071910876531,0.0007528846673252598,0.0002581071910876531,0.0002581071910876531,0.0017814566774385643,0,0.0,0,0,0,-9.0,0.0
SMC,EURUSD,M1,541,5.043649866864897e-06,6.253066986627864e-05,6.064665977412176e-06,1.154805080982868e-05,0.00035008957410598285,7,0.012939001848428836,5,0,0,99.19960151216199,1.2537074207472176
SMC,EURUSD,M15,386,3.826162019038293e-05,0.00015162043454342022,6.899077217958904e-05,8.051095120142904e-05,0.0017722140770473072,0,0.0,1,1,0,-163.79876776332108,0.4849095353354684
SMC,EURUSD,M30,123,8.88681318027551e-05,0.0005029921185815134,0.00010773860625756804,0.00018014990760395477,0.0021082652001451763,0,0.0,2,1,0,-22.033042375562484,0.7881438233118991
SMC,EURUSD,M5,635,1.0912222043968356e-05,0.00022870079207071292,2.015263621668595e-05,4.062266497251166e-05,0.000860532071460085,0,0.0,3,0,0,-123.12734003886631,0.7613811239556856
SMC,GBPUSD,H1,37,0.00017203408839416845,0.0008897406612966563,0.00017203408839416845,0.00020841733737086976,0.0019740704768040906,0,0.0,0,0,0,19.99916693584025,1.952341282659059
SMC,GBPUSD,H4,9,0.00028156529599709934,0.0015351529632363636,0.00028156529599709934,0.00028156529599709934,0.008010637830461631,0,0.0,0,0,0,-5.840994708857627,0.2698756613927966
SMC,GBPUSD,M1,658,7.513439464812421e-06,7.025769742619037e-05,9.694256066339335e-06,1.3921084908163905e-05,0.0004930570469079409,6,0.00911854103343465,6,0,0,267.08418554255684,1.596170057014637
SMC,GBPUSD,M15,122,7.090813415544517e-05,0.0003918560308631136,7.813276605039832e-05,0.00011926421125330045,0.0013163948067556053,0,0.0,2,0,0,-16.66486025083197,0.8333513974916806
SMC,GBPUSD,M30,142,0.00010218155803287665,0.0021355699034820708,0.00014444688667292205,0.00021315972513691328,0.0031165848378036376,0,0.0,1,0,0,-105.97571304007013,0.20913646985022277
SMC,GBPUSD,M5,476,1.5624990471474476e-05,0.00020998152332929454,2.2103476949197898e-05,4.354853597576813e-05,0.000881472654226334,0,0.0,7,1,0,150.20303220002626,1.434112809826666
SMC,NZDUSD,H1,31,8.851032519929802e-05,0.0002483573601805844,8.851032519929802e-05,0.00012821315821931467,0.0014883496023880838,0,0.0,0,0,0,21.080437223356554,1.9582016919707526
SMC,NZDUSD,H4,15,0.0002585497274332216,0.0008953198893587588,0.0002585497274332216,0.0004191137293814151,0.0032144562663816156,0,0.0,1,0,0,19.266421187581393,2.9266421187581395
SMC,NZDUSD,M1,555,5.0390967004654286e-06,5.4142256552314194e-05,6.402555003726107e-06,1.0765955541502947e-05,0.00032657560935378527,7,0.012612612612612612,2,0,0,42.212011275129306,1.1068658513294414
SMC,NZDUSD,M15,162,3.1238552919310436e-05,0.00023369774708265068,3.769977653100831e-05,5.228400093060248e-05,0.000863936528907594,0,0.0,0,0,0,-7.563636368303506,0.9380029805876763
SMC,NZDUSD,M30,199,4.080060900257809e-05,0.00017553146451387835,4.8389167069951e-05,5.517736261739792e-05,0.0011435661546972398,0,0.0,2,1,0,-81.09782472393677,0.5285010190468793
SMC,NZDUSD,M5,439,1.923771621537007e-05,0.00014274732606267548,2.210406604974402e-05,3.1689116614330715e-05,0.0007872833617180719,0,0.0,2,0,0,7.40391542042553,1.0232097662082302
SMC,XAUUSD,H1,25,1.2937444785134176,6.530484628248814,1.2937444785134176,1.7451329786663337,22.874614260947965,0,0.0,1,1,0,32.506283723676255,3.0316427327297664
SMC,XAUUSD,H4,24,1.9656744539815918,22.214105082007563,1.9656744539815918,4.344825052940905,79.38917493802091,0,0.0,0,0,0,-5.886773206272319,0.6729570440959822
SMC,XAUUSD,M1,763,0.09300866135436081,0.9350375159656323,0.09544315591574559,0.13384078614944883,6.067075881279379,39,0.05111402359108781,3,0,0,302.5903264256903,1.5645341910927049
SMC,XAUUSD,M15,299,0.43180229904191947,4.8389139679920845,0.7994028472835453,1.524349135542252,37.44097355486883,0,0.0,25,0,0,445.6240370446164,4.073269220997355
SMC,XAUUSD,M30,67,0.8930843377665951,8.431152025311349,0.9844451687886249,1.257853823057303,17.588681519109286,0,0.0,0,0,0,-10.664726369711097,0.7908877182409587
SMC,XAUUSD,M5,521,0.12163024985420634,2.3838261541741304,0.20656390540216307,0.4030950233727708,18.699418082991542,1,0.0019193857965451055,5,1,0,-134.90595535142924,0.6840609944931401
SweepDisplacement,EURUSD,H1,22,7.338098136222548e-05,0.0006094286779223523,7.338098136222548e-05,0.00012440529647905763,0.004450128491449323,0,0.0,0,0,0,7.946669377606434,1.5676192412576024
SweepDisplacement,EURUSD,H4,0,,,,,,0,0.0,0,0,0,0,0.0
SweepDisplacement,EURUSD,M1,513,6.423436824665174e-07,8.74657740208562e-05,1.957546630793061e-06,1.0093772881525354e-05,0.0005481454441906841,21,0.04093567251461988,5,1,0,-111.28580998378068,0.7375334670193849
SweepDisplacement,EURUSD,M15,88,1.8213600503358407e-06,0.0004646512620792853,6.4186816219891085e-06,2.0010188478858382e-05,0.0019736987858296473,2,0.022727272727272728,1,1,1,37.7101823938924,1.4897426284921091
SweepDisplacement,EURUSD,M30,58,1.0447325436757637e-05,0.0005689960533927785,3.5921447863573874e-05,7.885741764668275e-05,0.001813282262921545,0,0.0,0,0,0,-13.95181013377696,0.6966997797005007
SweepDisplacement,EURUSD,M5,304,1.0837433825905407e-06,0.0002237118478199962,9.869911374860152e-06,4.2078794705302514e-05,0.0012261828380473183,2,0.006578947368421052,2,0,0,-40.442988663260245,0.8300714762047888
SweepDisplacement,GBPUSD,H1,27,5.288143188519889e-05,0.0007638426391192166,5.288143188519889e-05,8.229572957829667e-05,0.0030622984938875053,0,0.0,0,0,0,-20.59996829445007,0.17600126822199727
SweepDisplacement,GBPUSD,H4,7,0.0012846077693058344,0.0022662786429270554,0.0012846077693058344,0.0012846077693058344,0.002716951254207567,0,0.0,0,0,0,-1.4016687118282674,0.7196662576343466
SweepDisplacement,GBPUSD,M1,451,4.282361898422238e-07,0.00011959047143905721,1.141485796107844e-06,1.1632028459329646e-05,0.0007742830662063049,17,0.037694013303769404,2,0,0,-69.98374571848942,0.8050592041267703
SweepDisplacement,GBPUSD,M15,86,1.6238757559738914e-05,0.00053740325076157,1.8651511181078106e-05,4.531400640517269e-05,0.0025194731046578323,0,0.0,1,0,0,16.49042671501006,1.2461257718658223
SweepDisplacement,GBPUSD,M30,49,3.774181724192083e-05,0.00072082851949129,3.774181724192083e-05,6.643747885148876e-05,0.0027422599143034354,0,0.0,0,0,0,-21.132097336818894,0.4845829917849048
SweepDisplacement,GBPUSD,M5,313,1.6903169774984406e-07,0.00029390773694126793,1.153846463619601e-05,3.2864330025583754e-05,0.0015886914099401128,3,0.009584664536741214,2,0,0,-54.653011302864115,0.7796249544239351
SweepDisplacement,NZDUSD,H1,37,2.1154716014493147e-05,0.0005424192524134952,2.1154716014493147e-05,0.00010159595459013904,0.0013138935545853325,0,0.0,0,0,0,-11.992430171036494,0.6131474138375325
SweepDisplacement,NZDUSD,H4,4,0.000564528589417912,0.0007247626589071965,0.000564528589417912,0.000564528589417912,0.0011237925082226985,0,0.0,0,0,0,-4.0,0.0
SweepDisplacement,NZDUSD,M1,454,1.3277712537229647e-06,8.117977995025782e-05,5.362266319752784e-06,1.0824612420745616e-05,0.00030715901207345464,6,0.013215859030837005,1,0,0,-8.537545318201827,0.9746660376314483
SweepDisplacement,NZDUSD,M15,104,4.4549176474451e-06,0.0003924007770962912,1.4087632765225067e-05,5.7655571433889996e-05,0.0023345436892047156,1,0.009615384615384616,0,0,0,-42.7743230183127,0.49078186882961056
SweepDisplacement,NZDUSD,M30,39,2.966251089431271e-05,0.0005315629983645431,2.966251089431271e-05,6.165711937200502e-05,0.0018051440948839703,0,0.0,1,1,1,84.0704040551074,4.821382002504882
SweepDisplacement,NZDUSD,M5,385,5.938027276553015e-07,0.00023207975125238978,4.485035200452181e-06,2.176431214673258e-05,0.0009005894166228545,7,0.01818181818181818,1,0,0,-110.46664348970714,0.6425027718779704
SweepDisplacement,XAUUSD,H1,19,0.39466073895800946,11.881154336908367,0.39466073895800946,2.672656509542321,47.59422241177617,0,0.0,0,0,0,-6.405787262213215,0.5729475158524523
SweepDisplacement,XAUUSD,H4,3,2.380939193614722,9.4164360930381,2.380939193614722,2.380939193614722,9.894133029280965,0,0.0,0,0,0,-3.0,0.0
SweepDisplacement,XAUUSD,M1,400,0.01056691110079555,1.4325306180408006,0.031308455590078665,0.20734519118150274,6.2638155249392184,16,0.04,2,0,0,-115.34221427349661,0.6440055115015537
SweepDisplacement,XAUUSD,M15,92,0.09764121643547696,5.387030212348691,0.1342935224984103,0.41612697323398606,37.38060582010894,1,0.010869565217391304,0,0,0,-42.045419902766284,0.46095615509273996
SweepDisplacement,XAUUSD,M30,42,0.6025463963242146,8.86649676923389,0.6025463963242146,1.088993009871956,51.55735383397587,0,0.0,0,0,0,-13.62062812457201,0.6108391964407998
SweepDisplacement,XAUUSD,M5,313,0.026192274912773428,3.810585499260469,0.05596401871389389,0.22321672683847282,39.87558226382589,9,0.02875399361022364,1,0,0,-108.39759032383395,0.5814764852361625
