strategy,symbol,timeframe,trade_count,wins,losses,unresolved,win_rate,net_r,profit_factor,mean_winning_r,median_winning_r,p90_winning_r,p95_winning_r,p99_winning_r,max_winning_r,gross_share_gt5r,gross_share_gt10r,gross_share_gt20r,gross_share_gt50r
Classic,NZDUSD,M5,922,148,774,0,0.16052060737527116,-29.889688300745433,0.9613828316527837,5.027772376346317,2.4929821853833607,7.729543122120109,11.339491419412612,67.65221154675159,79.50383585846156,0.5989408436297843,0.42406658077768183,0.32507259398254573,0.19776106457813594
Classic,XAUUSD,H1,63,10,53,0,0.15873015873015872,-6.286601581196777,0.881384875826476,4.671339841880322,3.3866130382008497,8.972096604765728,11.306680879347507,11.306680879347507,11.306680879347507,0.6728036571850926,0.24204363763001893,0.0,0.0
Classic,XAUUSD,H4,50,6,44,0,0.12,-22.050667438750697,0.49884846730112054,3.658222093541551,2.1797233326528804,4.674967669653037,9.277250221333833,9.277250221333833,9.277250221333833,0.42266662074784267,0.0,0.0,0.0
Classic,XAUUSD,M1,983,171,812,0,0.17395727365208546,-268.45360504483995,0.6693921120137439,3.1786338886266656,2.3881047291630817,5.469760219001248,7.444178420223536,10.412169062338958,12.744143567993333,0.330780918004157,0.08313334688415375,0.0,0.0
Classic,XAUUSD,M15,284,56,228,0,0.19718309859154928,-51.64751715562318,0.7734758019490211,3.1491514793638715,2.2985641557484593,4.785926346852665,6.837007152292323,11.674957327931073,18.855820339595365,0.2895052130120748,0.1731236054922373,0.0,0.0
Classic,XAUUSD,M30,131,16,115,0,0.12213740458015267,-76.57883147427586,0.33409711761499244,2.4013230328577584,1.9117888103115839,5.788350216791988,5.788350216791988,5.910186131316434,5.910186131316434,0.30448153445088216,0.0,0.0,0.0
Classic,XAUUSD,M5,911,176,735,0,0.19319429198682767,220.14397142261043,1.2995156073777012,5.426954383083014,2.5009928064409386,5.93756737419659,7.502099611651253,11.70535094395139,382.7922203734932,0.61284317275544,0.4759878293521059,0.40076913201195713,0.40076913201195713
ICT,EURUSD,H1,4,1,3,0,0.25,-1.4831898645241848,0.5056033784919384,1.5168101354758152,1.5168101354758152,1.5168101354758152,1.5168101354758152,1.5168101354758152,1.5168101354758152,0.0,0.0,0.0,0.0
ICT,EURUSD,H4,1,1,0,0,1.0,4.376762354317143,inf,4.376762354317143,4.376762354317143,4.376762354317143,4.376762354317143,4.376762354317143,4.376762354317143,0.0,0.0,0.0,0.0
ICT,EURUSD,M1,82,35,47,0,0.4268292682926829,30.319995427631284,1.6451062856942826,2.209142726503751,1.8454600774231307,3.0269634537898207,3.249651578487144,9.922472291382984,9.922472291382984,0.1283299647976578,0.0,0.0,0.0
ICT,EURUSD,M15,14,4,10,0,0.2857142857142857,-1.7033041128054247,0.8296695887194575,2.074173971798644,1.9618928763646444,2.569229031020446,2.569229031020446,2.569229031020446,2.569229031020446,0.0,0.0,0.0,0.0
ICT,EURUSD,M30,33,2,31,0,0.06060606060606061,-27.297814970204964,0.11942532354177537,1.8510925148975184,1.8510925148975184,1.912927631995739,1.912927631995739,1.912927631995739,1.912927631995739,0.0,0.0,0.0,0.0
ICT,EURUSD,M5,136,6,130,0,0.04411764705882353,-119.6855647020098,0.07934180998454,1.7190725496650334,1.6580289532887091,1.8079951078726992,2.0963187687040192,2.0963187687040192,2.0963187687040192,0.0,0.0,0.0,0.0
ICT,GBPUSD,H1,4,1,3,0,0.25,-1.397262370962104,0.5342458763459653,1.602737629037896,1.602737629037896,1.602737629037896,1.602737629037896,1.602737629037896,1.602737629037896,0.0,0.0,0.0,0.0
ICT,GBPUSD,H4,4,0,4,0,0.0,-4.0,0.0,,,,,,,0.0,0.0,0.0,0.0
ICT,GBPUSD,M1,96,31,65,0,0.3229166666666667,5.9705968470963455,1.0918553361091745,2.2893740918418173,1.7578176746452268,3.120438027460976,4.284385422955746,8.062251930715176,8.062251930715176,0.18716451004233106,0.0,0.0,0.0
ICT,GBPUSD,M15,12,5,7,0,0.4166666666666667,3.3382669445961586,1.4768952777994513,2.067653388919232,2.072464025333416,2.5593001919139025,2.5593001919139025,2.5593001919139025,2.5593001919139025,0.0,0.0,0.0,0.0
ICT,GBPUSD,M30,67,19,48,0,0.2835820895522388,7.806773121123484,1.1626411066900726,2.9371985853222884,3.0,3.1085997647110446,3.1178888122275383,3.1265642029254828,3.1265642029254828,0.0,0.0,0.0,0.0
ICT,GBPUSD,M5,53,13,40,0,0.24528301886792453,-12.198713243715876,0.6950321689071031,2.1385605197141633,1.8308007730525717,3.5119946826019066,3.5119946826019066,4.466102853682529,4.466102853682529,0.0,0.0,0.0,0.0
ICT,NZDUSD,H1,5,1,4,0,0.2,-2.471841455884066,0.38203963602898355,1.5281585441159342,1.5281585441159342,1.5281585441159342,1.5281585441159342,1.5281585441159342,1.5281585441159342,0.0,0.0,0.0,0.0
ICT,NZDUSD,H4,3,0,3,0,0.0,-3.0,0.0,,,,,,,0.0,0.0,0.0,0.0
ICT,NZDUSD,M1,114,39,75,0,0.34210526315789475,11.897716121870687,1.1586362149582758,2.2281465672274536,2.0644329773153682,2.9765476625498057,3.175679817313362,3.716249982296903,3.716249982296903,0.0,0.0,0.0,0.0
ICT,NZDUSD,M15,14,6,8,0,0.42857142857142855,7.97994265349544,1.99749283168693,2.6633237755825734,2.5719246231368817,3.44279784029219,3.616236667592327,3.616236667592327,3.616236667592327,0.0,0.0,0.0,0.0
ICT,NZDUSD,M30,51,3,48,0,0.058823529411764705,-41.840590844097456,0.12832102408130305,2.053136385300849,2.217693990218416,2.441715165684171,2.441715165684171,2.441715165684171,2.441715165684171,0.0,0.0,0.0,0.0
